import time: self [us] | cumulative | imported package
import time:       327 |        327 |   _io
import time:        42 |         42 |   marshal
import time:       499 |        499 |   posix
import time:       321 |       1187 | _frozen_importlib_external
import time:       100 |        100 |   time
import time:        86 |        186 | zipimport
import time:        44 |         44 |     _codecs
import time:       222 |        266 |   codecs
import time:       390 |        390 |   encodings.aliases
import time:       512 |       1166 | encodings
import time:       146 |        146 | encodings.utf_8
import time:        96 |         96 | _signal
import time:        23 |         23 |     _abc
import time:        91 |        113 |   abc
import time:       112 |        225 | io
import time:        33 |         33 |       _stat
import time:        49 |         82 |     stat
import time:       641 |        641 |     _collections_abc
import time:        37 |         37 |       genericpath
import time:        68 |        104 |     posixpath
import time:       250 |       1076 |   os
import time:        53 |         53 |   _sitebuiltins
import time:       620 |        620 |   _distutils_hack
import time:       248 |        248 |   types
import time:       251 |        251 |       warnings
import time:       144 |        394 |     importlib
import time:       152 |        152 |     importlib._abc
import time:       203 |        203 |           itertools
import time:       147 |        147 |           keyword
import time:        87 |         87 |             _operator
import time:       303 |        389 |           operator
import time:       174 |        174 |           reprlib
import time:        57 |         57 |           _collections
import time:      1091 |       2059 |         collections
import time:        80 |         80 |         _functools
import time:       596 |       2734 |       functools
import time:       213 |        213 |       _weakrefset
import time:       699 |       3645 |     threading
import time:       129 |       4318 |   importlib.util
import time:        50 |         50 |   importlib.machinery
import time:       111 |        111 |     apport_python_hook
import time:        96 |        207 |   sitecustomize
import time:      1968 |       8537 | site
import time:        89 |         89 |           _datetime
import time:       100 |        189 |         datetime
import time:      1155 |       1155 |         enum
import time:       130 |        130 |           collections.abc
import time:       138 |        138 |           copyreg
import time:       444 |        444 |           contextlib
import time:        50 |         50 |               _sre
import time:       194 |        194 |                 re._constants
import time:       406 |        599 |               re._parser
import time:       111 |        111 |               re._casefix
import time:       288 |       1047 |             re._compiler
import time:       485 |       1531 |           re
import time:        40 |         40 |           _typing
import time:      2831 |       5112 |         typing
import time:       115 |        115 |               __future__
import time:       878 |        878 |                 pydantic_core._pydantic_core
import time:       261 |        261 |                       numbers
import time:       511 |        771 |                     _decimal
import time:       108 |        879 |                   decimal
import time:       851 |        851 |                         _ast
import time:      1039 |       1890 |                       ast
import time:        33 |         33 |                           _opcode
import time:       386 |        418 |                         opcode
import time:       757 |       1175 |                       dis
import time:       132 |        132 |                           token
import time:        37 |         37 |                           _tokenize
import time:       848 |       1017 |                         tokenize
import time:       153 |       1170 |                       linecache
import time:      1715 |       5948 |                     inspect
import time:       164 |        164 |                     _socket
import time:      1572 |       7682 |                   typing_extensions
import time:        88 |         88 |                           concurrent
import time:      1718 |       1718 |                                 textwrap
import time:       475 |       2193 |                               traceback
import time:       455 |        455 |                               weakref
import time:        47 |         47 |                                 _string
import time:      2873 |       2919 |                               string
import time:        40 |         40 |                               atexit
import time:      2162 |       7766 |                             logging
import time:       425 |       8191 |                           concurrent.futures._base
import time:       172 |       8450 |                         concurrent.futures
import time:        47 |         47 |                         errno
import time:        91 |         91 |                           _heapq
import time:       165 |        255 |                         heapq
import time:        95 |         95 |                             math
import time:        57 |         57 |                             select
import time:       521 |        672 |                           selectors
import time:        88 |         88 |                           array
import time:      1591 |       2350 |                         socket
import time:        60 |         60 |                             _locale
import time:       652 |        711 |                           locale
import time:       416 |        416 |                           signal
import time:        49 |         49 |                           fcntl
import time:        61 |         61 |                           msvcrt
import time:        34 |         34 |                           _posixsubprocess
import time:       626 |       1896 |                         subprocess
import time:      1530 |       1530 |                           _ssl
import time:        56 |         56 |                               _struct
import time:       152 |        208 |                             struct
import time:        46 |         46 |                             binascii
import time:       246 |        498 |                           base64
import time:      2531 |       4558 |                         ssl
import time:       193 |        193 |                         asyncio.constants
import time:       173 |        173 |                         asyncio.coroutines
import time:       125 |        125 |                             _contextvars
import time:        92 |        217 |                           contextvars
import time:       130 |        130 |                           asyncio.format_helpers
import time:       100 |        100 |                             asyncio.base_futures
import time:       159 |        159 |                             asyncio.exceptions
import time:       125 |        125 |                             asyncio.base_tasks
import time:       262 |        645 |                           _asyncio
import time:       518 |       1508 |                         asyncio.events
import time:       226 |        226 |                         asyncio.futures
import time:       176 |        176 |                         asyncio.protocols
import time:       236 |        236 |                           asyncio.transports
import time:       100 |        100 |                           asyncio.log
import time:       561 |        896 |                         asyncio.sslproto
import time:        85 |         85 |                             asyncio.mixins
import time:       362 |        447 |                           asyncio.locks
import time:       374 |        374 |                             asyncio.timeouts
import time:       369 |        743 |                           asyncio.tasks
import time:       295 |       1484 |                         asyncio.staggered
import time:       127 |        127 |                         asyncio.trsock
import time:       867 |      23199 |                       asyncio.base_events
import time:       303 |        303 |                       asyncio.runners
import time:       205 |        205 |                       asyncio.queues
import time:       307 |        307 |                       asyncio.streams
import time:       264 |        264 |                       asyncio.subprocess
import time:       160 |        160 |                       asyncio.taskgroups
import time:       109 |        109 |                       asyncio.threads
import time:       188 |        188 |                         asyncio.base_subprocess
import time:       488 |        488 |                         asyncio.selector_events
import time:       617 |       1291 |                       asyncio.unix_events
import time:       257 |      26090 |                     asyncio
import time:        21 |      26110 |                   asyncio.coroutines
import time:      8083 |      42753 |                 pydantic_core.core_schema
import time:       565 |      44195 |               pydantic_core
import time:       198 |      44507 |             pydantic.version
import time:       259 |      44766 |           pydantic._migration
import time:       119 |        119 |               typing_inspection
import time:       149 |        149 |                 copy
import time:      1183 |       1332 |               dataclasses
import time:      1139 |       1139 |               typing_inspection.typing_objects
import time:       654 |       3243 |             typing_inspection.introspection
import time:       119 |        119 |             pydantic._internal
import time:       338 |        338 |                 pydantic._internal._namespace_utils
